dateCreated,hours,sessions,quotes,transactions,sessionConversion,quoteConversion
01/10/2024,23,296,109,6,0.02027027,0.055045872
01/10/2024,22,380,169,19,0.05,0.112426036
01/10/2024,21,492,212,23,0.046747967,0.108490566
01/10/2024,20,456,247,24,0.052631579,0.097165992
01/10/2024,19,483,241,22,0.045548654,0.091286307
01/10/2024,18,491,280,27,0.054989817,0.096428571
01/10/2024,17,568,302,42,0.073943662,0.139072848
01/10/2024,16,570,307,28,0.049122807,0.091205212
01/10/2024,15,622,350,42,0.067524116,0.12
01/10/2024,14,605,304,36,0.059504132,0.118421053
01/10/2024,13,634,355,57,0.089905363,0.16056338
01/10/2024,12,642,362,48,0.074766355,0.132596685
01/10/2024,11,627,328,42,0.066985646,0.12804878
01/10/2024,10,644,331,70,0.108695652,0.211480363
01/10/2024,9,574,297,43,0.074912892,0.144781145
01/10/2024,8,413,193,16,0.03874092,0.082901554
01/10/2024,7,290,102,4,0.013793103,0.039215686
01/10/2024,6,209,49,1,0.004784689,0.020408163
01/10/2024,5,202,41,4,0.01980198,0.097560976
01/10/2024,4,196,22,0,0,0
01/10/2024,3,172,12,0,0,0
01/10/2024,2,1068,885,0,0,0
01/10/2024,1,302,36,0,0,0
01/10/2024,0,836,47,4,0.004784689,0.085106383
02/10/2024,23,297,108,9,0.03030303,0.083333333
02/10/2024,22,371,186,22,0.059299191,0.11827957
02/10/2024,21,399,214,13,0.032581454,0.060747664
02/10/2024,20,425,215,16,0.037647059,0.074418605
02/10/2024,19,475,249,29,0.061052632,0.116465863
02/10/2024,18,475,222,23,0.048421053,0.103603604
02/10/2024,17,547,298,25,0.045703839,0.083892617
02/10/2024,16,645,319,43,0.066666667,0.134796238
02/10/2024,15,600,334,33,0.055,0.098802395
02/10/2024,14,599,300,39,0.065108514,0.13
02/10/2024,13,613,310,35,0.057096248,0.112903226
02/10/2024,12,697,365,54,0.077474892,0.147945205
02/10/2024,11,623,347,58,0.093097913,0.167146974
02/10/2024,10,619,340,44,0.071082391,0.129411765
02/10/2024,9,572,303,42,0.073426573,0.138613861
02/10/2024,8,429,221,24,0.055944056,0.108597285
02/10/2024,7,305,88,6,0.019672131,0.068181818
02/10/2024,6,221,49,2,0.009049774,0.040816327
02/10/2024,5,199,31,0,0,0
02/10/2024,4,173,23,2,0.011560694,0.086956522
02/10/2024,3,175,14,0,0,0
02/10/2024,2,200,26,0,0,0
02/10/2024,1,208,41,1,0.004807692,0.024390244
02/10/2024,0,567,50,2,0.003527337,0.04
03/10/2024,23,254,78,6,0.023622047,0.076923077
03/10/2024,22,363,181,18,0.049586777,0.099447514
03/10/2024,21,411,208,21,0.051094891,0.100961538
03/10/2024,20,430,206,16,0.037209302,0.077669903
03/10/2024,19,385,195,20,0.051948052,0.102564103
03/10/2024,18,443,208,22,0.0496614,0.105769231
03/10/2024,17,486,243,18,0.037037037,0.074074074
03/10/2024,16,539,313,38,0.070500928,0.121405751
03/10/2024,15,494,258,32,0.064777328,0.124031008
03/10/2024,14,513,282,29,0.056530214,0.102836879
03/10/2024,13,542,304,34,0.062730627,0.111842105
03/10/2024,12,555,322,36,0.064864865,0.111801242
03/10/2024,11,562,317,51,0.090747331,0.160883281
03/10/2024,10,581,316,47,0.080895009,0.148734177
03/10/2024,9,523,275,40,0.076481836,0.145454545
03/10/2024,8,424,193,15,0.035377358,0.077720207
03/10/2024,7,288,106,7,0.024305556,0.066037736
03/10/2024,6,211,48,3,0.014218009,0.0625
03/10/2024,5,168,22,1,0.005952381,0.045454545
03/10/2024,4,169,18,1,0.00591716,0.055555556
03/10/2024,3,144,15,0,0,0
03/10/2024,2,157,20,2,0.012738854,0.1
03/10/2024,1,190,27,3,0.015789474,0.111111111
03/10/2024,0,554,41,2,0.003610108,0.048780488
04/10/2024,23,224,68,3,0.013392857,0.044117647
04/10/2024,22,278,113,3,0.010791367,0.026548673
04/10/2024,21,299,101,14,0.046822742,0.138613861
04/10/2024,20,340,118,12,0.035294118,0.101694915
04/10/2024,19,374,149,10,0.026737968,0.067114094
04/10/2024,18,361,176,16,0.04432133,0.090909091
04/10/2024,17,398,197,23,0.057788945,0.116751269
04/10/2024,16,469,223,20,0.042643923,0.089686099
04/10/2024,15,544,337,32,0.058823529,0.09495549
04/10/2024,14,529,297,28,0.052930057,0.094276094
04/10/2024,13,564,323,28,0.04964539,0.086687307
04/10/2024,12,523,308,36,0.068833652,0.116883117
04/10/2024,11,539,307,41,0.07606679,0.133550489
04/10/2024,10,591,302,45,0.076142132,0.149006623
04/10/2024,9,513,274,30,0.058479532,0.109489051
04/10/2024,8,414,169,24,0.057971014,0.142011834
04/10/2024,7,255,70,7,0.02745098,0.1
04/10/2024,6,206,45,2,0.009708738,0.044444444
04/10/2024,5,153,15,0,0,0
04/10/2024,4,158,21,1,0.006329114,0.047619048
04/10/2024,3,160,17,0,0,0
04/10/2024,2,189,11,1,0.005291005,0.090909091
04/10/2024,1,238,20,0,0,0
04/10/2024,0,597,45,5,0.008375209,0.111111111
05/10/2024,23,238,53,0,0,0
05/10/2024,22,298,98,3,0.010067114,0.030612245
05/10/2024,21,330,130,4,0.012121212,0.030769231
05/10/2024,20,330,106,8,0.024242424,0.075471698
05/10/2024,19,332,126,7,0.021084337,0.055555556
05/10/2024,18,361,164,6,0.016620499,0.036585366
05/10/2024,17,397,193,7,0.017632242,0.03626943
05/10/2024,16,411,190,10,0.0243309,0.052631579
05/10/2024,15,428,207,18,0.042056075,0.086956522
05/10/2024,14,452,195,15,0.033185841,0.076923077
05/10/2024,13,451,235,19,0.042128603,0.080851064
05/10/2024,12,444,245,26,0.058558559,0.106122449
05/10/2024,11,486,271,28,0.057613169,0.103321033
05/10/2024,10,406,205,27,0.066502463,0.131707317
05/10/2024,9,375,182,17,0.045333333,0.093406593
05/10/2024,8,314,140,3,0.00955414,0.021428571
05/10/2024,7,225,63,1,0.004444444,0.015873016
05/10/2024,6,172,26,0,0,0
05/10/2024,5,153,22,1,0.006535948,0.045454545
05/10/2024,4,150,13,0,0,0
05/10/2024,3,151,14,1,0.006622517,0.071428571
05/10/2024,2,160,28,1,0.00625,0.035714286
05/10/2024,1,192,16,0,0,0
05/10/2024,0,602,39,0,0,0
06/10/2024,23,261,102,12,0.045977011,0.117647059
06/10/2024,22,341,157,13,0.038123167,0.082802548
06/10/2024,21,417,220,24,0.057553957,0.109090909
06/10/2024,20,461,242,29,0.062906725,0.119834711
06/10/2024,19,436,233,27,0.061926606,0.115879828
06/10/2024,18,462,266,18,0.038961039,0.067669173
06/10/2024,17,490,262,25,0.051020408,0.095419847
